MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circle bounce circle PFV,wo zuwa fepufomo,sohado wayudo,sahime cica,cicca sahime,cica cicaa sahime,cica sahime cicaa,cicaa sahime cica,cicaa sahime cica,demi lemuse
circle bounce circle,pocha ralu dacowo,hopidu godapo,cica defoda,defoda cicaa,cica cicaa fumese,cica fumese cicaa,cicaa fumese cica,cicaa fumuse cica,demi sahime
circle slide circle PFV,fame vali,cica sadihe,cicaa sahime,sahime cicca,cica cica sahime,cicaa sahime cica,cica sahime cica,cica sahime cica,dmei demi
circle slide circle,ta fuchi yubece beco,gosame gesori,cica sahime,cicaa fumese,cica detofa cica,cica lumese cicaa,cica fumese cica,cica fumuse cica,demi demi
circle bounce circles PFV,zege m iv ovu,mekado cofone,sahime lumese cica,cica sahime lumese,cicaa fumese slumese,cica sahime lumese,cicaa sahime lumese,cicaa sahime lumuse,lumuse fumuse lumuse
circle bounce circles,nureno gewo hi,jeko fagoteda,lumese cica defoda,cica defoda lumese,cicaa detofa slumese,demitoda detoda demi,cicaa fumese lumese,cicaa fumuse lumuse,femuse demifora
circle slide circles PFV,wono koneve fikida,wuyi fumadi,cica defoda fagote,lumese cica sahime,cica sahime slumese,lumese cica,cica sahime lumese,cica sahime lumuse,demi lumuse lumuse
circle slide circles,bisege na wo tuwero,minato fichefa,cica lumese defoda,cica fumese lumese,slumese cica fumese,cica fumese lumese,cica fumese lumese,cica fumuse lumuse,lumuse demi sahime
circles bounce circle PFV,noka roge su zodo fe,sodi bekuche,cica lumese sahime,lumese fumese cica,cica lumese fumese,lumese sahime cica,sumese sahime cica,lumese sahime cica,demi lumuse fumuse
circles bounce circle,pivuba wotuya yuvu,bewabe fusese,cica defoda lumese,cica lumese defoda,lumese detofa cica,lumese fumese sumese,sumise lumese cica,fumuse lumuse cica,lumuse demitofa demitora
circles slide circle PFV,ketasi ke falo pe,hepome difeda,lumese cica sahime,cica lumese sahime,cica lumese sahime,cica sahime sumese,lumese sahime cica,lumuse sahime cica,lumuse sahime lumuse fumuse
circles slide circle,nolu lude yoye tida,bego fa digoto,lumese defoda cica,cica lumese fumese,lumese fumese cica,sumese fumese lumese,lumese fumese cica,lumuse fumuse cica,demi sahime lumuse
circles bounce circles PFV,gu ze hi,deta bigo hoke,lumese lumese sahime,lumese lumese sahime,slumese lumese detofa,lumese fumese cicaa,sumese sahime lumese,lumuse sahime lumuse,lemuse femuse lemuse
circles bounce circles,cawose gazuhu de ko,defigi hokida,lumese defoda lumese,lumese lumese defoda,lumese fumese slumese,demitoda detoda demitoda,lumese sumese lumese,lumuse fumuse lumusee,demitofa sahime lumuse
