MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circle bounce circle PFV,ti hu ratuna,babutub,givoto babutube givoto,givoto babatube givoto,givoto babatube givoto,evoto babatube evoto,evoto baba evoto,evo evo baba baba,evo babatube evo
circle bounce circle,fupa farohi du,tubabu,givoto babutube givoto,givoto tube ja babutube,givoto babatube babatube givoto,evoto babatube babatube evoto,evoto babatube babatube evoto,evoto baba baba evoto,evo babatube babatube evo
circle slide circle PFV,tugope bavuma ca,tube,ja tube givoto ja tube,tube,givoto tube givoto,civoto tube civoto,evo evo tube,evo tube evo,evo tube evo
circle slide circle,badube,tube,tube ja tube mi mo,givoto tube tube givoto,givoto tube tube givoto,evoto tube tube evoto,evoto tube tube evoto,evoto tube tube evoto,evo tube tube evo
circle bounce circles PFV,fo muve pabodimu,babu ja me ma,givoto babutube refatata givoto,givoto babtube refatata givoto,givoto babatube givoto refatata,evoto babatube evoto refatata,evo ref evo baba,evo babatube evoto ref,evo babatube evoto ref
circle bounce circles,tudi gi vu pu mepe pu,ridoto,refatata givoto babutube babutube givoto,tube givoto ja,givoto bababute bababute givoto refatata,evoto babatube babatube evoto refatata,evo refa evo baba baba,evotot ref evoto baba baba,evo babatube babatube evoto ref
circle slide circles PFV,lahi fu,roji,refatata givoto tube givoto,tube givoto babutube,givoto tube givoto refatata,evoto tube evoto refatata,evoto tube evoto refatata,evoto ref evoto tube,evo tube evoto ref
circle slide circles,regufu pomi pahe lu,tube roji,givoto tube,givoto ja roji,givoto tube tube givoto refatata,civoto tube tube civoto refatata,evoto tube tube evoto ref,evoto ref evoto tube tube,evo tube tube evoto ref
circles bounce circle PFV,roji,ja me ma pa po roji tube,refatata givoto tube givoto,givoto refatata babatube givoto,givoto refatata babatube givoto,civoto refatata tube civoto,evoto refatata babatube evoto,evoto refatata babatube evoto,evoto ref babatube evo
circles bounce circle,jibe le veto,ja mi ma pa po babuta,roji roji givoto roji ja,givoto babatube givoto refatata,givoto refatata babatube babatube givoto,civoto refatata babatbe babatube civoto,evo evo ref baba baba,evoto refatata babatube babatube evoto,evoto ref babatube babatube evo
circles slide circle PFV,gige,ja mi ma pa po,ja babutube,tube givoto roji,givoto refatata tube givoto,evoto refatata tube evoto,evo evo ref tube,evoto evoto refatata tube,evoto refatata tube evoto
circles slide circle,mere rihe,ja mi ma pa po,babatube tube roji,givoto babutube tube,givoto refatata tube tube givoto,civoto refatata tube tube civoto,evoto refatata tube tube evoto,evoto refatata tube tube evoto,evoto ref tube tube evo
circles bounce circles PFV,hu fevatata,babuta roji,givoto refatata,givoto babutube givoto refatata,givoto refatata babatube givoto refatata,civoto refatata babatube civoto refatata,evoto refa babatube evoto refa,evo ref baba evo ref,evoto ref babatube evoto ref
circles bounce circles,liji gunari gupeji,babuta roji,refatata givoto babutube refatata givoto,givoto refatata babatube babatube givoto refatata,givoto refatata babatube babatube givoto refatata,civoto refatata babatube babatube civoto refatata,evoto refatata babatube babatube evoto refatata,evoto ref evoto ref babatube babatube,evoto ref babatube babatube evo
circles slide circles PFV,jo cigopocu fapohi,roji,refatata givoto tube refatata givoto,givoto refatata tube givoto refatata,givoto refatata tube givoto refatata,evoto refatata tube evoto refatata,evo ref evo ref tube,evotot ref evoto refatata tube,evoto ref tube evoto ref
circles slide circles,duja,godeme nomole,givoto tube tube refatata givoto,givoto refatata tube tube givoto refatata,givoto refatata tube tube givoto refatata,civoto refatata tube tube civoto refatata,roji refatata rofi refatata tube tube,evoto ref evoto refatata tube tube,evoto refatata evoto refatata tube tube
circle bounce square PFV,bupivuje fuhe hu,babutube,babutube,ja babatube givoto,givoto babatube roji,evoto babatube roji,evoto babatube roji,evoto baba roji,evo babatube roji
