MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8,,,
circle bounce circle PFV,ce hido,pira domo,domo puve,domo luve,domo le domo,domo domo,domo lefugo domo,domo lefugo domo,domo refugo domo,,,
circle bounce circle,lu mafofe vogafo,ji pirame,jami domo,domo puve,domo domo,domo refugo domo,domo domo,domo refugo domoge,domo refugo domo,,,
circle slide circle PFV,rota,puva luve,domo refugo,pira luve,domo luve,domo lefugo domo,domo lefugo domo,domo lefugo domo,domo lefugo domo,,,
circle slide circle,pivi pohote jule,ja domo,domo puve,domo luve,domo domo,domo domo,domo refugo domo,domo refugo domo,domo refugo domo,,,
circle bounce circles PFV,vibe,primae luve,refugo luve,domo le domoge,domo le domoge,domo lefugo domoge,domo lefugo domoge,domo lefugo domoge,domo lefugo pirage,,,
circle bounce circles,pi vucema la,lo ce ji,jami luve,domo puve domoge,domo domoge,domo refugo domage,domo refugo domoge,domo refugo domoge,domo refugo pirage,,,
circle slide circles PFV,jigove,luve,fefubo luve,domoge domo refugo,domoge,domo lefugo domage,domo lefugo domoge,domo lefugo domoge,domo lefugo domoge,,,
circle slide circles,ji pirame,ha mu,jami luve,domo luve,domo domoge,domo domoge,domo refugo domoge,domo refugo domoge,domo refugo domoge,,,
circles bounce circle PFV,hu mi,luve,fefuba luve,domoge le domo,domoge domo,pirage domoge,domoge lefugo domo,domoge lefugo domo,domo refugo domoge,,,
circles bounce circle,jige lagobo hodo,ja ha hi fe fo,fefuba domo,fefuga domo,domoge le domo,domage refugo domo,domoge refugo domo,domoge refugo domo,domo refugo domoge,,,
circles slide circle PFV,luve,luve,refugo,refugo domo,domoge domo,domo lefugo domoge,domoge lefugo domo,domoge lefugo domo,domo lefugo domoge,,,
circles slide circle,bero bihe robo hipu,fefub le fefubo,fefuba domo,domoge domo,domoge luve domo,domage refugo doma,domoge refugo domo,domoge refugo domo,domo refugo domoge,,,
circles bounce circles PFV,pe hu pu rare go,fefula le luve,rebubo le refuba,refugo le felugo,domoge lefugo domoge,domoge lefugo domoge,domoge lefugo domoge,domoge lefugo domoge,domoge lefugo domoge,,,
circles bounce circles,fe hi ciridupi gedi,fefuba le fefubo,refugo luve,domoge domoge,domoge domoge,domoge refugo domoge,domoge refugo domoge,domoge refugo domoge,domoge refugo domoge,,,
circles slide circles PFV,dalero du,joja luve,fefuba refugo,domoge luve le domoge,domoge luve domoge,pirage lefugo pirage,domoge lefugo domoge,domoge lefugo domoge,refugo domoge refugo,,,
circles slide circles,feroho no mo,jame fefuba le fufoha,fefuba le fefubo,domoge luve domoge,domoge refugo demoge,domoge domoge,domage refugo domage,domoge refugo domoge,domoge refugo domoge,,,
circle bounce square PFV,hofudo nomopa pudi,ni domo,domo luve,domo le pira,domo pira,pira domo,domo lefugo pira,domo refugo pira,domo lefugo pria,,,
circle bounce square,bipo jije nevi,pece ni ji domo,mono refugo,domo pira,domo pira,domo refugo pira,domo refugo pira,domo refugo pira,pira lefugo domo,,,
circle slide square PFV,loce puvepu,mai domo,domo puve,domo pira,domo pira,domo lefugo pira,domo lefugo pira,domo lefugo pira,domo lefugo pira,,,
circle slide square,pura,pu djimu,mari domo,domo pira,domo pira,doo refugo pira,domo refugo pira,domo refugo pira,pira refugo domo,,,
circle bounce squares PFV,cujelo lele,jaji nu loce,luve,luve domo,domo pirage,domo lefugo pirage,domo lefugo pirage,domo lefugo pirage,domo refugo pirage,,,
circle bounce squares,tivo haboha pe pego,hile jigo febe,jami luve,domo pirage,domo le pirage,domo pirage,domo refugo pirage,domo refugo pirage,pirage refugo domo,,,
circle slide squares PFV,fajacime ro le,du munu,jami luve,refugo domo,domo pirage,domo lefugo pirage,domo lefugo pirage,domo lefugo pirage,pirage lefugo domo,,,
